Job Title,Company Name,Experience Level,Work Type,Job Type,Location,Company type,Number of employees,Job description
Data Scientist,Chubb,Mid-Senior level,Hybrid,Full-time,Bengaluru,Insurance,10001+,"The Purpose of the roleAs
 a key member of the Special Projects team, he/she will be at the 
forefront of developing new innovative solutions with appropriate use of
 machine learning algorithms to undertake intellectually stimulating 
R&D projects. This
 role uses Machine Learning techniques to solve challenging actuarial 
problems, working in an intellectually strong group of actuaries and 
data scientists, and liaising with the various divisions of the company.
 The responsibilities entail being the ML expert on the team. The 
individual is expected to possess strong statistical knowledge, and 
outstanding understanding of machine learning methods.Ideal
 candidate for this role is someone with a strong education in computer 
science, data science, statistics, applied math or a related field, and 
who is eager to tackle problems with innovative thinking without 
compromising detailed business nuances. One must be adept at solving 
diverse problems by utilizing a variety of different tools, strategies, 
machine learning techniques, and algorithms. The individual will be 
expected to interpret and communicate results with stakeholders in an 
effective manner. Responsibilities      Work
 with stakeholders to define the scope of the project, determine 
analyses to be performed, manage deliverables against timelines, present
 of results and implement the model.Use broad spectrum of NLP, Machine Learning and deep learning techniques to extract impactful features from unstructured data.Develop and implement models that help with solving the problem at hand; Ensure that the model is able to meet the desired KPIs.Be a thought leader and generate ideas / novel approaches to business problems.Stay abreast of the developments in the rapidly changing field of AI and machine learning.Handle stakeholder requests and perform work with little to no assistance.Mentor and coach junior team members and provide support on projects requiring advanced skill and domain expertise.Gain deeper understanding of Chubb’s business and develop expertise on multiple lines of business.

Required knowledge, Skills, and qualifications.      understanding
 of ML concepts – Probabilistic Models, Supervised vs Unsupervised 
Learning, Ensemble Techniques, Hyperparameter Optimization, and Deep 
Learning; Strong experience in developing and maintaining machine 
learning models.years programming experience in 
Python, including Numpy, Scipy, Pandas, Regex, Matplotlib and other 
machine learning libraries (or equivalent platforms)in visualization tools like Qlik, Power BI etc. will be an added advantage.with data and machine learning services using Azure.have experience with Github.Experience in Big data technologies will be an advantage.to work in a team setting to understand problems and map out solutions, Having strong problem solving skills.along with strong organization and time management skills is essential.at research and looking to apply new methodologies to varied situations.communication and presentation skillsadvanced degree in data science, business analytics, computers, statistics, mathematics or economicsto 10 years of work experience in a related space; Experience in BFSI domain will be added advantage.

            
          "
Campaign Analyst,NeoStats,,On-site,Full-time,Bengaluru,,11-50,"
                About Neostats Analytics:NeoStats
 is a new-age, Data & Analytics firm offering contemporary solutions
 and infinite possibilities. Our mission is to create lasting 
competitive advantage for our clients by transforming them into 
world-class, data-driven organizations. Established in 2022 to provide 
End to End Data & Analytics Services, we are headquartered out of 
UAE, with bases in India & UK. Comprising of industry veterans, we 
enable structural transformations in Analytics powered by our expertise,
 true partnership, and e2e implementation approach.About
 the Job: We are seeking an experienced Campaign Analyst to join our 
growing team in Bangalore. The ideal candidate should possess a minimum 
of 4 years of experience in the banking industry with expertise in SQL, 
Python, and SAS. As a Campaign Analyst, you will be responsible for 
designing, executing, and analyzing marketing campaigns to drive 
customer engagement and revenue growth. Responsibilities:• Utilize SQL, Python, and SAS to design, execute, and analyze marketing campaigns.• Analyze customer data to identify patterns and insights that can inform campaign strategies.• Collaborate with cross-functional teams to develop campaign briefs and objectives.• Create customer segmentation strategies to optimize campaign targeting and personalization.• Monitor campaign performance and provide regular reports to stakeholders.• Develop and maintain marketing dashboards to track key metrics and KPIs.• Stay up-to-date with industry trends and best practices in campaign analysis and optimization.• Use statistical models to forecast campaign impact and ROI.• Optimize campaigns through A/B testing and experimentation.• Use your learnings to improve campaign performance and drive revenue growth. Requirements:• Bachelor's degree in Marketing, Business, or a related field.• Minimum of 4 years of experience in campaign analysis in the banking industry.• Proficiency in SQL, Python, and SAS.• Strong analytical and critical thinking skills.• Excellent communication and collaboration abilities.• Knowledge of statistical modeling and forecasting techniques.• Experience with A/B testing and experimentation.• Ability to work independently and manage multiple projects simultaneously.• Use your learnings to improve campaign performance and drive revenue growth. What we offer:• Competitive Salary and Benefits• Opportunity to be part of a fast-paced and growing startup. Grow your career with the company• Ownership - You will own your initiative and be given specific responsibilities•
 Continuous coaching & mentoring – You will have the opportunity to 
interact and work closely with other senior data scientists and AI 
experts across the globe.• Dynamic and respectful work environment – we truly value you
            "
Business Analyst (Retention) - Fresher,GIVA,Entry level,On-site,Full-time,Bengaluru,Retail Luxury Goods and Jewelry,201-500,"
                GIVA (www.giva.co)
 is a venture-backed company that creates luxurious yet affordable 
silver jewelry for Men/women. We're looking to add more smart folks to 
our team who can put their heads down and solve a few interesting 
challenges as we scale our business.Job Description - Business Analyst (Retention) (Freshers/Experienced)For Freshers - Salary BEST in the industryFor Experienced - Fresher or Experienced 2 Years  Maximum Salary 9-10 LPAJob Description - Business Analyst (Retention)We are seeking a highly motivated and dynamic Business Analyst (Retention) to join ourteam. As a Business Analyst, you will play a crucial role in supporting our marketing effortsand contributing to the success of our organization.Key Responsibilities:● Net Promoter Score Analysis: Prepare detailed weekly/ monthly reports and presentationsto communicate the NPS issues. Root cause analysis, NPS benchmarking, Trend analysis,Closing the loop with relevant stakeholders.● Market Research: Conduct market research to stay updated on industry trends, competitoractivities, and consumer behaviour. Utilise research findings to propose innovative marketingstrategies.● Performance Analysis: Monitor the effectiveness of CRM initiatives by analyzing keyperformance indicators (KPIs) and providing actionable insights. Use data-drivenapproaches to identify trends, opportunities, and areas for improvement.● Customer Retention CRM Activities: Collaborate with the marketing team to execute andmanage various CRM campaigns. This includes SMS, WhatsApp, email marketing, appnotifications, customer segmentation, etc.● Campaign Performance Reporting: Prepare detailed reports and presentations tocommunicate the performance and impact of CRM activities to the marketing andmanagement teams. Publish weekly, and monthly reports.Skills and Qualifications:● Bachelor's degree● Analytical & Logical Thinking: Strong analytical & logical skills to interpret data and derivevaluable insights. Ability to connect data points and propose data-driven recommendations.● Numerical Proficiency: Comfortable working with numbers and proficiency in data analysistools, such as Excel, Google Analytics, or similar software.● Adaptability: Ability to adapt quickly to changing marketing trends and technologyadvancements.● Detail-oriented: Attentive to detail, ensuring accuracy in data management and reporting.● Team Player: Strong collaborative skills and a positive attitude to work effectively in ateam-based environment. Willingness to learnHiring based on Assignment Valuation (Please find the assignment below)GIVA MARKETING ASSOCIATE ASSIGNMENT1. An ant climbs a well in such a way that during the day, it climbs 3 feet, andduring the night, it slips by 2 feet. If the depth of the well is 20 feet, how longwill it take for the ant to climb up the entire well?2. Which city are you from? Estimate the number of cars in your city.3. Which Indian D2C brand do you like to follow for its marketing activities andwhy? Answer only from the perspective of app notifications and/or emailmarketing.4. Nine people P, Q, R, S, T, U, V, W, X are watching a movie in a theatre sittingin a row facing North. Q is at one end of the row. W is seated adjacent to bothU and V. R is to the immediate right of S and at the third place to the right of T.P is immediately to the left of U. U is at the third place to the left of Q. Find outwhat is the possible arrangement?Interested candidates Complete the assignment and share updated CV to ajjiith@giva.co
            "
Data Scientist,Nielsen,,Hybrid,Full-time,Bengaluru,Software Development,10001+,"At Nielsen, we believe that career growth is a partnership. You 
ultimately own, fuel and set the journey. By joining our team of nearly 
14,000 associates, you will become part of a community that will help 
you to succeed. We champion you because when you succeed, we do too. 
Embark on a new initiative, explore a fresh approach, and take license 
to think big, so we can all continuously improve. We enable your best to
 power our future.

Nielsen measures the
 media-consumption habits of homes globally. Our data paints a rich 
portrait of the audience in those markets we measure. As a pioneer and 
industry leader in audience measurement for more than half a century, we
 take pride in our technology and processes, and we are constantly 
searching for new ways to advance our culture of innovation and growth.

Our
 areas of expertise include researching hardware, software, quality 
controls and business rule changes that will improve the accuracy of our
 data reporting.

In this role, you will
 learn and become an expert in Nielsen’s TV panel data, with a focus on 
Meter hardware and software used for data collection and crediting. You 
will help to design and execute analyses, develop necessary underlying 
data pipelines, and help to provide data-driven recommendations based on
 findings.

Responsibilities

      Learn
 and become an expert in Audience Measurement, with a focus on streaming
 meter technology used for data collection and crediting.Contribute to analysis plan design, develop underlying data pipelines, execute analyses and summarize results.Identify, clean, and summarize data, potentially from disparate and complex data sources, to facilitate high quality analyses.Create simple, meaningful visualizations to help support data analysis and stakeholder communicationsDevelop and share efficient code used for analyses.Incorporate quality checks to proactively detect and correct for errors throughout analysis.Provide clear data-driven recommendations based on research findings.Support
 senior team members in collaboration with department stakeholders 
(Engineering, Data Science, Technology, etc.). This includes providing 
status updates, developing timelines, sharing data, executing tests, 
presenting results, etc.


Key Skills

      Bachelor’s Degree or higher in Mathematics, Statistics, Computer Science, Data Science, Data Engineering or a related field.2+ years of experience with the following:Manipulating, analyzing and interpreting complex data sources to tell a story from data through analysesProgramming in Python, PySpark and SQL for data pipeline development used to support analyticsTrending and visualizing data within TableauExperience working in cloud-based environments such as AWSAble to communicate effectively both orally and in writingEmbraces innovation with a readiness to explore new solutions and a commitment to rapid iteration based on customer feedbackDemonstrates strategic thinking, understanding the broader impact of data insights on product and business objectives"
Product Analyst,Unacademy,Associate,On-site,Full-time,Bengaluru,E-Learning Providers,5001-10000,"
                Unacademy is India’s largest online learning 
app and is at the forefront of revolutionizing education through 
innovative technology and a commitment to quality learning. Join our 
team, to promote our new app - Unacademy: Learn a language, in the U.S. 
The App helps learners master new languages through its engaging
 and immersive learning experience. As we prepare to scale our user base
 in the U.S. market, we are seeking a dynamic Growth Manager to 
spearhead our growth initiatives and help us reach new heights.
Job Responsibilities:
      Identify,
 analyze, and interpret trends or patterns in complex data sets and 
present the findings using appropriate visualization toolsWork with cross-functional teams to prioritize business and information needsWork
 with project managers to identify data needs for rolling out new 
product features. Test and check if data is being collected accurately 
for these new featuresMeasure, track, and report various KPIs of these newly rolled-out features

Key skills required:Technologies: SQL, Postgres/Redshift, Tableau, Excel
      Not to get tool-minded but to get an Analytical and problem-solving approachStrong knowledge and experience with databases and programming (SQL)Proficient in MS ExcelExperience in product analytics is good to have like Google Analytics, Youtube Analytics, Mixpanel, Amplitude, etc.Adept at queries, report writing, and presenting findingsAbility to work independently with various stakeholders/partners and a strong team player

Graduate/Engineering/master’s in mathematics, Economics, Computer Science, Information Management or Statistics
            "
Data Scientist,Lab,,On-site,Full-time,Bengaluru,,1-10,"
                Company Description
 lab
 is a venture studio located in Bengaluru that specializes in 
transforming ideas into successful startups. With expert guidance and 
support, we foster innovation and entrepreneurial success.
 Role Description
 This
 is a full-time on-site role for a Data Scientist. The Data Scientist 
will be responsible for performing data analysis, data visualization, 
and data analytics tasks on a daily basis. They will work closely with 
the team to develop statistical models and provide insights based on the
 data.
 Qualifications
       Data Science and Statistics skillsData Analytics and Data Analysis skillsData Visualization skillsExperience with statistical modelingProficiency in programming languages like Python or RStrong problem-solving and analytical skillsExcellent communication and presentation skillsAttention to detail and ability to work in a teamBachelor's degree in Data Science, Statistics, or related field

            
          
          
          "
Data Analyst Intern,Axion Ray,Internship,On-site,Full-time,Bengaluru,Software Development,11-50,"Location - Bengaluru (Hybrid)

Axion
 Ray’s mission is to improve the quality and safety of engineered 
products - airplanes, electric vehicles, and medical devices, by 
creating the world’s best proactive management platform, powered by the 
latest advances in artificial intelligence. We're revolutionizing the 
way next-gen vehicles are made and are partnering with forward-looking 
engineering leaders to create and deploy AI models that will accelerate 
our speed to an electric and supersonic future.

Axion leverages bleeding-edge tech & AI stack - including Generative AI and NLP/LLMs - to solve real-world problems.

Our team includes experts in Enterprise AI from Palantir, McKinsey & QuantumBlack, and other top tech companies.

Since
 our founding at the onset of 2021, we’ve deployed across some of the 
largest Automotive and Aerospace companies in the world. If you want the
 chance to help build the future of engineering, join us!

Responsibilities

      Responsible for understanding manufacturing data provided by clients and proposing strategies to address business challenges.Engage in data exploration, analysis, and automation of data cleaning tasks under the guidance of their mentors.Work with the data science and product team to generate required insights on the client’s data.


Requirements

      Pursuing final year bachelor's degree in any relevant engineering stream at a Tier 1 college (Preferred).Collaborate with stakeholders including machine learning engineers, data scientists, data engineers, and product managersBasic
 knowledge on excel sheets, Python(Pandas)/R or other interfaces for 
processing large amounts of data would be an advantage.Excellent written and verbal communication skills.


Axion Ray is an Equal Opportunity / Affirmative Action employer 
committed to diversity in the workplace. All qualified applicants will 
receive consideration for employment without regard to race, color, 
religion, sex, sexual orientation, age, national origin, disability, 
protected veteran status, gender identity, or any other factor protected
 by applicable federal, state, or local laws."
Business Analyst ,GIVA,Associate,On-site,Full-time,Bengaluru,Retail Luxury Goods and Jewelry,201-500,"Position Overview:We are seeking a skilled and driven Business Analyst with 1 to 3 years of experience to joinour team. As a Business Analyst, you will be responsible for analyzing business processes,gathering requirements, and facilitating the implementation of solutions to meetorganizational goals. You will work closely with cross-functional teams, stakeholders, andclients to understand their needs, identify areas for improvement, and propose effectivesolutions. The ideal candidate should have a solid foundation in business analysistechniques, excellent communication skills, and the ability to thrive in a dynamic andcollaborative environment.
Responsibilities:1. Collaborate with stakeholders to gather, document, and validate business requirements,ensuring a clear understanding of goals, objectives, and desired outcomes.2. Analyze existing business processes, workflows, and systems to identify areas forimprovement and propose solutions that enhance efficiency, productivity, and userexperience.3. Conduct stakeholder interviews, workshops, and observations to elicit requirements,gather insights, and ensure alignment with business needs.4. Develop clear and comprehensive functional specifications, use cases, user stories, andother documentation to communicate requirements to development teams.5. Assist in the development of project plans, timelines, and resource allocation, workingclosely with project managers and cross-functional teams.6. Conduct data analysis, interpret findings, and present actionable insights andrecommendations to stakeholders and management.7. Facilitate meetings and workshops to drive discussions, gather feedback, and reachconsensus on proposed solutions.8. Collaborate closely with technical teams to ensure accurate implementation of businessrequirements and facilitate effective communication between business and IT functions.9. Support testing efforts by reviewing test cases, conducting functional testing, andassisting in user acceptance testing (UAT).10. Monitor project progress, identify risks and issues, and propose mitigation strategies toensure successful project delivery.11. Stay updated on industry trends, emerging technologies, and best practices in businessanalysis, and proactively share knowledge with the team.
Qualifications:1. Bachelor's degree in Business Administration, Computer Science, Information Systems, ora related field.2. Minimum of 1-3 years of experience as a Business Analyst or in a similar role.3. Solid understanding of business analysis techniques, including requirements elicitation,documentation, and validation.4. Proficiency in using requirements gathering tools, process modeling techniques, anddocumentation tools.5. Excellent communication skills, both written and verbal, with the ability to effectivelyinteract with stakeholders at all levels of the organization.6. Familiarity with Agile methodologies and experience working in Agile developmentenvironments.7. Strong analytical and problem-solving skills, with the ability to analyze complexinformation and propose practical solutions.8. Ability to work independently as well as collaboratively in a team-oriented environment.9. Detail-oriented mindset with the ability to prioritize tasks, manage multiple projectssimultaneously, and meet deadlines.10. Strong interpersonal skills, with the ability to build positive relationships withstakeholders and influence decision-making.11. Proficiency in using tools such as JIRA, Confluence, or similar project management andcollaboration platforms.
Overview:GIVA is a silver jewellery store aiming with a vision to make authentic, elegant and finejewellery accessible. Started in 2019, GIVA has grown rapidly to become one of India'sleading silver jewellery and lab-grown diamond jewellery brand. Why GIVA? 1. Pure Silver –Every piece is crafted with 925 sterling silver, so there’s never a doubt about quality. Yourprecious jewellery will retain its value, forever. 2. Authenticity Certificate – Your GIVA piecesare accompanied by an authenticity certificate that validates the purity of your preciousjewels 3. Warranty- 6-months plating warranty on all your jewellery products 4. Packaging –Packaging as gorgeous as your jewellery, guaranteed to bring a smile to your face 5.Convenience - Doorstep delivery, fast and secure checkout, 30-day no questions askedreturns, any payment method you can think of (including cash on delivery), free and insureddelivery. What more could you ask for!
Websitehttps://www.giva.co/
IndustryHeadquartersBangalore, Karnataka"
Data Scientist,East 57th Street Partners,Executive,Remote,Full-time,India,Business Consulting and Services,51-200,"
                🚀 We're Hiring!Our 
esteemed client is on the lookout for a talented individual to fill a 
crucial role in their dynamic team. Here's why you should be excited 
about this opportunity:
✅
 100% Remote Position: Embrace the flexibility of working from anywhere!
 This role offers the perfect balance between work and life, allowing 
you to excel in your professional journey without compromising on your 
personal time.
💼
 Competitive Salary & Benefits: We understand the value of our 
employees. That's why this position comes with an attractive salary 
package and a comprehensive benefits plan, ensuring you feel valued and 
supported.
🌐 
Quarterly Travel to Corporate Headquarters: While enjoying the perks of 
remote work, you'll also have the unique opportunity to travel to our 
client's corporate headquarters once every quarter. This is a fantastic 
chance to connect with the team, engage in collaborative projects, and 
immerse yourself in the company culture.
📈
 Grow Your Career: This role isn't just a job; it's a pathway to 
professional growth and development. Our client is committed to 
nurturing talent and providing opportunities for career advancement.
Are
 you ready to take the next step in your career with a role that offers 
the best of both worlds? Apply now and become a part of something truly 
remarkable!
Data Scientist
Data
 Scientists are tasked with analyzing and interpreting complex digital 
data, such as usage statistics, to assist in business decision-making. 
This role requires a blend of statistical prowess, data mining ability, 
and analytical thinking to find patterns and insights hidden in vast 
datasets. Data Scientists often work closely with business stakeholders 
to turn data into critical information that can guide organizational 
decisions. Their expertise in machine learning and predictive modeling 
is vital for organizations looking to leverage data for a competitive 
advantage.
Responsibilities:      Develop
 and implement databases, data collection systems, data analytics, and 
other strategies that optimize statistical efficiency and quality.Use
 predictive modeling to increase and optimize customer experiences, 
revenue generation, ad targeting, and other business outcomes.Identify, analyze, and interpret trends or patterns in complex data sets.Work with management to prioritize business and information needs.Locate and define new process improvement opportunities.Collaborate with engineering and product development teams.
Requirements:      Proven experience as a Data Scientist or Data Analyst.Experience in data models and reporting packages.Ability to analyze large datasets.Strong verbal and written communication skills.An analytical mind and inclination for problem-solving.Attention to detail.

            "
Data Engineer,Lowe's India,Mid-Senior level,On-site,Full-time,Bengaluru,Retail,1001-5000,"About Lowe’s

Lowe’s
 Companies, Inc. (NYSE: LOW) is a FORTUNE® 50 home improvement company 
serving approximately 19 million customer transactions a week in the 
United States. With fiscal year 2021 sales of over $96 billion, Lowe’s 
and its related businesses operate or service nearly 2,200 home 
improvement and hardware stores and employ over 300,000 associates. 
Based in Mooresville, N.C., Lowe’s supports the communities it serves 
through programs focused on creating safe, affordable housing and 
helping to develop the next generation of skilled trade experts. For 
more information, visit Lowes.com.

Lowe’s India 

Lowe’s
 India employs over 3,600 associates across technology, analytics, 
merchandising, supply chain, marketing, finance and accounting, product 
management, and shared services leveraging new technologies and finding 
innovative methods to ensure Lowe's has a competitive edge in its key 
markets.

About The Team

The
 Lowe’s One Roof Media Network Technology team delivers low letency 
ad-tech solution to our LORMN client partners. The team delivers high 
quality and uses cutting edge technology.

Job Summary

The
 primary purpose of this role is to translate business requirements and 
functional specifications into logical program designs and to deliver 
modules, stable application systems, and Data or Platform solutions. 
This includes developing, configuring, or modifying integrated business 
and/or enterprise infrastructure or application solutions within various
 computing environments. This role facilitates the implementation and 
maintenance of business and enterprise Data or Platform solutions to 
ensure successful deployment of released applications.

Qualifications

Minimum Qualifications

       Bachelor's Degree in Engineering, Computer Science, CIS, or related field (or equivalent work experience in a related field) 3 years of experience in Data, BI or Platform Engineering, Data Warehousing/ETL, Microstrategy 1 year of experience working on project(s) involving the implementation of solutions applying development life cycles (SDLC) Expertise
 in MicroStrategy/Power BI/SQL, Scripting, Teradata or equivalent RDBMS,
 Hadoop (OLAP on Hadoop), Dashboard development, Mobile development 
(specific to the BI Engineering role)


Preferred Qualifications

       Master's Degree in Computer Science, CIS, or related field 2 years of IT experience developing and implementing business systems within an organization


Lowe's is an equal opportunity employer and administers
 all personnel practices without regard to race, color, religious creed,
 sex, gender, age, ancestry, national origin, mental or physical 
disability or medical condition, sexual orientation, gender identity or 
expression, marital status, military or veteran status, genetic 
information, or any other category protected under federal, state, or 
local law.

Starting rate of
 pay may vary based on factors including, but not limited to, position 
offered, location, education, training, and/or experience. For 
information regarding our benefit programs and eligibility, please visit
 https://talent.lowes.com/us/en/benefits."
